反馈编号,标题,状态,主主题,反馈类型,评论数,互动数,旧版初筛分,初筛档位,源链接,标注方式,人工复核状态,人工主主题,人工根因,复核证据,复核人,复核时间
OWUI-28539,issue: note content can be overwritten with an empty document — Yjs seeding is client-side only and skipped when more than one session is joined,开放,知识库与RAG,问题反馈,2,0,55,P2候选,https://github.com/open-webui/open-webui/issues/28539,规则初筛,未复核,,,,,
OWUI-28537,issue: Docker example doesn't work,已关闭,安装与升级,问题反馈,4,0,51,P2候选,https://github.com/open-webui/open-webui/issues/28537,规则初筛,未复核,,,,,
OWUI-28536,feat: configurable token scope for Entra ID connection auth,已关闭,账号与权限,功能建议,2,0,33,观察,https://github.com/open-webui/open-webui/issues/28536,规则初筛,未复核,,,,,
OWUI-28530,"ci: feature requests are never auto-labeled, nothing applies the enhancement label",已关闭,其他,功能建议,2,0,33,观察,https://github.com/open-webui/open-webui/issues/28530,规则初筛,未复核,,,,,
OWUI-28528,issue: llama.cpp timings merged into usage inflates input_tokens total_tokens and cached_tokens,已关闭,其他,问题反馈,7,1,66,P2候选,https://github.com/open-webui/open-webui/issues/28528,规则初筛,未复核,,,,,
OWUI-28527,feat: Cache-stable date/time variables for system prompts (prefix KV caching),已关闭,其他,功能建议,4,0,41,观察,https://github.com/open-webui/open-webui/issues/28527,规则初筛,未复核,,,,,
OWUI-28525,bug: context compaction always uses hardcoded max_tokens=1000 for non-Ollama models,已关闭,模型与API连接,问题反馈,3,0,47,观察,https://github.com/open-webui/open-webui/issues/28525,规则初筛,未复核,,,,,
OWUI-28521,feat: Reindex memories endpoint,已关闭,模型与API连接,功能建议,1,0,29,观察,https://github.com/open-webui/open-webui/issues/28521,规则初筛,未复核,,,,,
OWUI-28514,bug: Model editor stores arbitrary free text in meta.tts.voice (unvalidated),已关闭,模型与API连接,问题反馈,0,0,35,观察,https://github.com/open-webui/open-webui/issues/28514,规则初筛,未复核,,,,,
OWUI-28513,bug: API update of custom model returns 500 when access_grants is omitted,已关闭,安装与升级,问题反馈,1,0,39,观察,https://github.com/open-webui/open-webui/issues/28513,规则初筛,未复核,,,,,
OWUI-28504,bug: chat stats export always returns 0 for user/assistant message counts and an empty message map,已关闭,界面与对话流程,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28504,规则初筛,未复核,,,,,
OWUI-28502,"issue: Chat Completions to Responses conversion drops ""file"" content parts",开放,知识库与RAG,问题反馈,1,0,51,P2候选,https://github.com/open-webui/open-webui/issues/28502,规则初筛,未复核,,,,,
OWUI-28500,"fix: collapsed sidebar rail pushed off screen, recoverable only by shrinking the window below the mobile breakpoint",开放,界面与对话流程,问题反馈,2,0,55,P2候选,https://github.com/open-webui/open-webui/issues/28500,规则初筛,未复核,,,,,
OWUI-28498,feat: Persistent Follow-Up Suggestions with Branch/New Chat Actions,已关闭,界面与对话流程,功能建议,1,0,29,观察,https://github.com/open-webui/open-webui/issues/28498,规则初筛,未复核,,,,,
OWUI-28492,issue: Tool calls silently dropped and thought_signature lost with Google's OpenAI-compatible endpoint,已关闭,模型与API连接,问题反馈,7,0,63,P2候选,https://github.com/open-webui/open-webui/issues/28492,规则初筛,未复核,,,,,
OWUI-28487,issue: generated images render blank in the Images playground when the frontend is on a different origin,开放,多媒体与语音,问题反馈,3,0,59,P2候选,https://github.com/open-webui/open-webui/issues/28487,规则初筛,未复核,,,,,
OWUI-28419,Image generation adds text despite image-only response request,已关闭,多媒体与语音,功能建议,3,0,37,观察,https://github.com/open-webui/open-webui/issues/28419,规则初筛,未复核,,,,,
OWUI-28418,"issue: Need to strip `reasoning_effort` param from OpenAI params, transitioning Completions to Responses API",已关闭,模型与API连接,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28418,规则初筛,未复核,,,,,
OWUI-28413,issue: Title generation stucks the model,已关闭,模型与API连接,问题反馈,1,0,39,观察,https://github.com/open-webui/open-webui/issues/28413,规则初筛,未复核,,,,,
OWUI-28412,issue: v0.11.0 default pinned models are hidden in collapsed sidebar Models section,已关闭,模型与API连接,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28412,规则初筛,未复核,,,,,
OWUI-28411,"bug: HEIC uploads: conversion skipped for image/heif and empty file.type, and converted JPEGs re-tagged as image/heic",开放,知识库与RAG,问题反馈,3,0,59,P2候选,https://github.com/open-webui/open-webui/issues/28411,规则初筛,未复核,,,,,
OWUI-28402,feat: Render Tool-Generated Files as Native Chat Attachments,已关闭,知识库与RAG,功能建议,1,0,29,观察,https://github.com/open-webui/open-webui/issues/28402,规则初筛,未复核,,,,,
OWUI-28400,issue: Enabling the Memory tool causes conversation context loss from the first follow-up message,已关闭,Agent/工具/搜索,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28400,规则初筛,未复核,,,,,
OWUI-28397,bug: OpenAI Python client files.create() gets 405 because /api/v1/files requires a trailing slash,已关闭,模型与API连接,问题反馈,3,0,47,观察,https://github.com/open-webui/open-webui/issues/28397,规则初筛,未复核,,,,,
OWUI-28394,fix: OpenAPI tool results skip every second inline data: URI,开放,模型与API连接,问题反馈,3,0,59,P2候选,https://github.com/open-webui/open-webui/issues/28394,规则初筛,未复核,,,,,
OWUI-28393,feat: Run automatic context compaction asynchronously after response completion,开放,其他,功能建议,1,0,41,观察,https://github.com/open-webui/open-webui/issues/28393,规则初筛,未复核,,,,,
OWUI-28385,issue:Gemini 2.5 Flash exposes intermediate reasoning and tool-call content in chat UI when using function calling,已关闭,Agent/工具/搜索,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28385,规则初筛,未复核,,,,,
OWUI-28382,feat: Per-model chat background color,已关闭,模型与API连接,功能建议,1,0,29,观察,https://github.com/open-webui/open-webui/issues/28382,规则初筛,未复核,,,,,
OWUI-28380,issue: A message queued while a URL is attaching is never sent,已关闭,界面与对话流程,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28380,规则初筛,未复核,,,,,
OWUI-28378,issue: An attached web page or YouTube video reaches the model with no content,已关闭,模型与API连接,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28378,规则初筛,未复核,,,,,
OWUI-28377,"feat: Admin control over ""Full Context"" KB attachment mode on custom models",已关闭,模型与API连接,功能建议,6,0,49,观察,https://github.com/open-webui/open-webui/issues/28377,规则初筛,未复核,,,,,
OWUI-28370,issue: SearXNG web search returns no usable results (debug log shows only the base query URL),开放,Agent/工具/搜索,问题反馈,3,0,59,P2候选,https://github.com/open-webui/open-webui/issues/28370,规则初筛,未复核,,,,,
OWUI-28361,"issue: Attaching a URL that fails reports nothing, and a failed YouTube transcript blames the knowledge base",已关闭,知识库与RAG,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28361,规则初筛,未复核,,,,,
OWUI-28356,"ci: dev fails its own Ruff Format check, so every backend PR inherits a red build",已关闭,界面与对话流程,问题反馈,1,0,39,观察,https://github.com/open-webui/open-webui/issues/28356,规则初筛,未复核,,,,,
OWUI-28332,issue: Bug reports stay unlabelled when the title prefix is added after the issue is opened,已关闭,其他,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28332,规则初筛,未复核,,,,,
OWUI-28331,issue: Image generation engine fails to recognize Base URL or improperly processes image creation when using function calling with legacy model settings,已关闭,模型与API连接,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28331,规则初筛,未复核,,,,,
OWUI-28320,"bug: OAuth signout races with reactive auth guard added in v0.11.0, cancels redirect to IdP end_session_endpoint",开放,账号与权限,问题反馈,2,0,55,P2候选,https://github.com/open-webui/open-webui/issues/28320,规则初筛,未复核,,,,,
OWUI-28319,"bug: MCP tool-server OAuth never requests access_type=offline, so Google MCP sessions are deleted every hour",开放,账号与权限,功能建议,3,0,49,观察,https://github.com/open-webui/open-webui/issues/28319,规则初筛,未复核,,,,,
OWUI-28317,feat: Bring back multiple chat,已关闭,界面与对话流程,功能建议,2,0,33,观察,https://github.com/open-webui/open-webui/issues/28317,规则初筛,未复核,,,,,
OWUI-28316,issue: Cannot update or add memory after changed embedding model,开放,安装与升级,问题反馈,3,1,62,P2候选,https://github.com/open-webui/open-webui/issues/28316,规则初筛,未复核,,,,,
OWUI-28313,feat: video generation support,已关闭,多媒体与语音,功能建议,2,0,33,观察,https://github.com/open-webui/open-webui/issues/28313,规则初筛,未复核,,,,,
OWUI-28305,"issue: a tool call whose id an earlier round reused is dropped, orphaning its result",开放,Agent/工具/搜索,问题反馈,1,0,51,P2候选,https://github.com/open-webui/open-webui/issues/28305,规则初筛,未复核,,,,,
OWUI-28298,"feat: Per-model admin control for user-configurable tools, skills and chat integrations",已关闭,模型与API连接,功能建议,1,0,29,观察,https://github.com/open-webui/open-webui/issues/28298,规则初筛,未复核,,,,,
OWUI-28297,feat: Restore admin model list reordering UI and support centrally managed pinned models,已关闭,模型与API连接,功能建议,1,0,29,观察,https://github.com/open-webui/open-webui/issues/28297,规则初筛,未复核,,,,,
OWUI-28296,"issue: pyproject.toml ""all"" extra is missing OpenTelemetry packages that Docker installs by default",已关闭,安装与升级,问题反馈,4,0,51,P2候选,https://github.com/open-webui/open-webui/issues/28296,规则初筛,未复核,,,,,
OWUI-28294,feat: Admin-configurable default sidebar state for all users and devices,已关闭,界面与对话流程,功能建议,0,0,25,观察,https://github.com/open-webui/open-webui/issues/28294,规则初筛,未复核,,,,,
OWUI-28292,bug: Memory context ordering in system prompt invalidates LLM KV cache on every turn,已关闭,性能与稳定性,问题反馈,3,0,47,观察,https://github.com/open-webui/open-webui/issues/28292,规则初筛,未复核,,,,,
OWUI-28288,"issue: A standard channel's member list omits its owner, and lists nobody when a user and a group are both granted",开放,其他,问题反馈,2,0,55,P2候选,https://github.com/open-webui/open-webui/issues/28288,规则初筛,未复核,,,,,
OWUI-28286,"bug: Responses converter drops image detail, breaking strict OpenAI-compatible backends",开放,模型与API连接,问题反馈,1,0,51,P2候选,https://github.com/open-webui/open-webui/issues/28286,规则初筛,未复核,,,,,
OWUI-28285,feat: Voice modality for Pipes — AI-like voice UX without a model,已关闭,模型与API连接,功能建议,2,0,33,观察,https://github.com/open-webui/open-webui/issues/28285,规则初筛,未复核,,,,,
OWUI-28281,feat: Move Toast for System Messages,已关闭,界面与对话流程,功能建议,3,0,37,观察,https://github.com/open-webui/open-webui/issues/28281,规则初筛,未复核,,,,,
OWUI-28279,concept/feat: Customizable Human In The Loop - Tool approval flow inside Open WebUI via Filter Functions,已关闭,Agent/工具/搜索,功能建议,6,2,55,P2候选,https://github.com/open-webui/open-webui/issues/28279,规则初筛,未复核,,,,,
OWUI-28273,issue: A chat shared with you shows your own name and avatar as the author,已关闭,账号与权限,问题反馈,3,0,47,观察,https://github.com/open-webui/open-webui/issues/28273,规则初筛,未复核,,,,,
OWUI-28271,issue: Shared chat owner avatars request a hardcoded /api/v1 path and break in a split frontend and backend setup,已关闭,模型与API连接,功能建议,2,0,33,观察,https://github.com/open-webui/open-webui/issues/28271,规则初筛,未复核,,,,,
OWUI-28269,"issue: A message from a deleted user renders the ""profile"" alt text instead of a fallback avatar",已关闭,知识库与RAG,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28269,规则初筛,未复核,,,,,
OWUI-28263,"issue: Referencing a chat shared with you returns ""No sources found"" and the chat is missing from the Reference Chats picker",开放,界面与对话流程,问题反馈,2,0,55,P2候选,https://github.com/open-webui/open-webui/issues/28263,规则初筛,未复核,,,,,
OWUI-28261,"issue: Read-only shared folders accept chat drops that always fail, and writable shared folders show no drop indicator",已关闭,界面与对话流程,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28261,规则初筛,未复核,,,,,
OWUI-28259,"issue: Chat API errors render as ""[object Object]"" instead of the server message",已关闭,模型与API连接,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28259,规则初筛,未复核,,,,,
OWUI-28258,issue: Knowledge Base stops working after switching chats,已关闭,知识库与RAG,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28258,规则初筛,未复核,,,,,
OWUI-28257,"issue: Channel member counts include deleted users, and a DM with a deleted participant cannot be reopened",已关闭,其他,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28257,规则初筛,未复核,,,,,
OWUI-28255,feat: LLM can't list folders or tell which folder a chat is in,开放,界面与对话流程,功能建议,2,0,45,观察,https://github.com/open-webui/open-webui/issues/28255,规则初筛,未复核,,,,,
OWUI-28253,issue: Add Access modal keeps offering groups that already have access,已关闭,其他,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28253,规则初筛,未复核,,,,,
OWUI-28249,issue: model whitelist accepts the same model ID twice,已关闭,模型与API连接,问题反馈,1,0,39,观察,https://github.com/open-webui/open-webui/issues/28249,规则初筛,未复核,,,,,
OWUI-28241,issue: global default custom_params discarded when a model defines its own custom_params (shallow merge),已关闭,模型与API连接,问题反馈,4,0,51,P2候选,https://github.com/open-webui/open-webui/issues/28241,规则初筛,未复核,,,,,
OWUI-28240,"issue: encrypted reasoning_details are replayed to a different model after an in-chat model switch, failing the turn",开放,模型与API连接,问题反馈,2,0,55,P2候选,https://github.com/open-webui/open-webui/issues/28240,规则初筛,未复核,,,,,
OWUI-28239,"issue: The chat feature ""Attach Knowledge"" is shown even if knowledge access is disabled",已关闭,知识库与RAG,功能建议,2,0,33,观察,https://github.com/open-webui/open-webui/issues/28239,规则初筛,未复核,,,,,
OWUI-28230,feat: Show API Key Token Usage in Admin Analytics Dashboard,已关闭,模型与API连接,功能建议,1,0,29,观察,https://github.com/open-webui/open-webui/issues/28230,规则初筛,未复核,,,,,
OWUI-28229,feat: Option to disable external (Google) favicon fetching for citations and web search results,已关闭,Agent/工具/搜索,功能建议,5,0,45,观察,https://github.com/open-webui/open-webui/issues/28229,规则初筛,未复核,,,,,
OWUI-28226,issue: `EVALUATION_ARENA_MODELS` doesn't respect `ENABLE_PERSISTENT_CONFIG=False`,已关闭,模型与API连接,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28226,规则初筛,未复核,,,,,
OWUI-28222,issue: Notes page crashes when note md content is stored as dict/object instead of string,已关闭,性能与稳定性,问题反馈,1,1,57,P2候选,https://github.com/open-webui/open-webui/issues/28222,规则初筛,未复核,,,,,
OWUI-28221,feat: Web Push for installed PWA; OS notification while the app is fully closed,开放,安装与升级,功能建议,1,0,41,观察,https://github.com/open-webui/open-webui/issues/28221,规则初筛,未复核,,,,,
OWUI-28217,issue: query_knowledge_files builtin tool function does not use knowledge_ids parameter given by LLM when multiple kb is attached to the model,已关闭,模型与API连接,问题反馈,3,0,47,观察,https://github.com/open-webui/open-webui/issues/28217,规则初筛,未复核,,,,,
OWUI-28215,"issue: v0.11.0 regression: aiodns/c-ares resolver intermittently stops resolving the `ollama` container name in Docker — chats fail with misleading ""Model not found"" (400)",已关闭,安装与升级,问题反馈,7,0,63,P2候选,https://github.com/open-webui/open-webui/issues/28215,规则初筛,未复核,,,,,
OWUI-28213,issue: Image attachments from parent chat are not passed to sub-agents,已关闭,Agent/工具/搜索,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28213,规则初筛,未复核,,,,,
OWUI-28210,"feat: UI: Show Prompt processing in chat window -> i.e. (75%,82% etc on progress)",已关闭,界面与对话流程,功能建议,6,0,49,观察,https://github.com/open-webui/open-webui/issues/28210,规则初筛,未复核,,,,,
OWUI-28209,"feat: when `ENABLE_PERSISTENT_CONFIG=false`, disable editing in admin UI accordingly",已关闭,界面与对话流程,功能建议,4,0,41,观察,https://github.com/open-webui/open-webui/issues/28209,规则初筛,未复核,,,,,
OWUI-28207,feat: Allow each user to enter their own Bearer / PAT token for MCP connection,已关闭,模型与API连接,功能建议,1,0,29,观察,https://github.com/open-webui/open-webui/issues/28207,规则初筛,未复核,,,,,
OWUI-28204,"feat: Governance filter for chat — deterministic PII scanning, prompt injection detection, and policy enforcement via Pipelines",已关闭,Agent/工具/搜索,功能建议,2,0,33,观察,https://github.com/open-webui/open-webui/issues/28204,规则初筛,未复核,,,,,
OWUI-28203,issue: Infinite loading loop on sidebar after v0.11.0 upgrade (Hugging Face + Storage Bucket),已关闭,安装与升级,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28203,规则初筛,未复核,,,,,
OWUI-28202,issue: [BUG] Deactivating an Ollama Cloud model 500s /api/models (get_all_models: list.remove(x): x not in list),已关闭,模型与API连接,问题反馈,1,0,39,观察,https://github.com/open-webui/open-webui/issues/28202,规则初筛,未复核,,,,,
OWUI-28201,issue: OIDC auto redirecting does not work,已关闭,其他,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28201,规则初筛,未复核,,,,,
OWUI-28199,feat: Allow folders to set default-enabled Tools,开放,Agent/工具/搜索,功能建议,1,0,41,观察,https://github.com/open-webui/open-webui/issues/28199,规则初筛,未复核,,,,,
OWUI-28198,feat: Support metadata in OpenAI :::writing{...} blocks,已关闭,模型与API连接,功能建议,5,0,60,P2候选,https://github.com/open-webui/open-webui/issues/28198,规则初筛,未复核,,,,,
OWUI-28189,feat: Add a default-off option to restore the user menu in the chat header,已关闭,界面与对话流程,功能建议,4,0,41,观察,https://github.com/open-webui/open-webui/issues/28189,规则初筛,未复核,,,,,
OWUI-28181,"Workspace models with external API base_model_id return ""Model not found"" for non-admin users after v0.11.0 (#26905)",已关闭,模型与API连接,咨询/待判定,6,0,49,观察,https://github.com/open-webui/open-webui/issues/28181,规则初筛,未复核,,,,,
OWUI-28173,perf: redis websocket manager: every instance decodes every emit,开放,其他,咨询/待判定,0,0,37,观察,https://github.com/open-webui/open-webui/issues/28173,规则初筛,未复核,,,,,
OWUI-28172,perf: Redis websocket manager: the synchronous session pool blocks the worker's event loop,开放,其他,咨询/待判定,1,0,56,P2候选,https://github.com/open-webui/open-webui/issues/28172,规则初筛,未复核,,,,,
OWUI-28171,perf: collapse the five per-request ASGI middleware layers into one,开放,其他,功能建议,0,0,37,观察,https://github.com/open-webui/open-webui/issues/28171,规则初筛,未复核,,,,,
OWUI-28170,perf: note co-editing re-broadcasts every edit once per participant and emits cursor updates with no rate limit,开放,安装与升级,咨询/待判定,1,0,41,观察,https://github.com/open-webui/open-webui/issues/28170,规则初筛,未复核,,,,,
OWUI-28169,"perf: every message-level write re-reads and rewrites the entire chat, so long chats get progressively more expensive to stream into",开放,界面与对话流程,咨询/待判定,1,0,41,观察,https://github.com/open-webui/open-webui/issues/28169,规则初筛,未复核,,,,,
OWUI-28168,perf: THREAD_POOL_SIZE does not bound the thread pool most blocking work actually uses,开放,其他,咨询/待判定,1,0,56,P2候选,https://github.com/open-webui/open-webui/issues/28168,规则初筛,未复核,,,,,
OWUI-28167,perf: Redis-backed model pool is re-fetched and JSON-decoded several times per chat request,开放,模型与API连接,功能建议,1,0,41,观察,https://github.com/open-webui/open-webui/issues/28167,规则初筛,未复核,,,,,
OWUI-28166,perf: websocket heartbeat interval is hardcoded at 30s with no way to tune it,开放,其他,咨询/待判定,1,0,41,观察,https://github.com/open-webui/open-webui/issues/28166,规则初筛,未复核,,,,,
OWUI-28165,perf: last_active_at is written on every authenticated request by default,开放,账号与权限,功能建议,1,0,41,观察,https://github.com/open-webui/open-webui/issues/28165,规则初筛,未复核,,,,,
OWUI-28164,perf/issue: Every Socket.IO event scans its whole payload for binary data that is never there,开放,其他,问题反馈,1,0,51,P2候选,https://github.com/open-webui/open-webui/issues/28164,规则初筛,未复核,,,,,
OWUI-28163,feat: provide a user-level option to disable `query_knowledge_files` `search_knowledge_bases`,已关闭,知识库与RAG,功能建议,3,0,37,观察,https://github.com/open-webui/open-webui/issues/28163,规则初筛,未复核,,,,,
OWUI-28162,"help: Task Model no longer auto generates titles, tags, etc.",已关闭,模型与API连接,问题反馈,15,0,63,P2候选,https://github.com/open-webui/open-webui/issues/28162,规则初筛,未复核,,,,,
OWUI-28161,issue: notification target rejects dotless internal hostnames like http://apprise:8000 even with ENABLE_LOCAL_WEB_FETCH enabled,开放,其他,问题反馈,1,0,51,P2候选,https://github.com/open-webui/open-webui/issues/28161,规则初筛,未复核,,,,,
OWUI-28160,feat: Disable admin UI connections configuration,已关闭,模型与API连接,功能建议,2,0,33,观察,https://github.com/open-webui/open-webui/issues/28160,规则初筛,未复核,,,,,
OWUI-28156,feat: Make file response from OpenAPI Tool Servers available to chat response,已关闭,模型与API连接,功能建议,1,0,29,观察,https://github.com/open-webui/open-webui/issues/28156,规则初筛,未复核,,,,,
OWUI-28148,bug: Open Terminal connection cannot be saved after successful verification,已关闭,模型与API连接,问题反馈,7,0,63,P2候选,https://github.com/open-webui/open-webui/issues/28148,规则初筛,未复核,,,,,
OWUI-28143,feat: Docs: Document response_format requirement when using OpenRouter as a TTS provider,已关闭,模型与API连接,功能建议,1,0,29,观察,https://github.com/open-webui/open-webui/issues/28143,规则初筛,未复核,,,,,
OWUI-28135,"issue: ""Mark as unread"" does nothing in the Search chats modal",开放,Agent/工具/搜索,问题反馈,2,0,55,P2候选,https://github.com/open-webui/open-webui/issues/28135,规则初筛,未复核,,,,,
OWUI-28133,"issue: Creating a calendar event with the date cleared fails with an ""[object Object]"" toast",开放,其他,问题反馈,2,0,55,P2候选,https://github.com/open-webui/open-webui/issues/28133,规则初筛,未复核,,,,,
OWUI-28125,issue: Analytics tab spins forever after selecting Custom range without picking dates,已关闭,其他,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28125,规则初筛,未复核,,,,,
OWUI-28123,v0.11.0: New Chat crashes with `default_models.split is not a function`,已关闭,模型与API连接,问题反馈,8,0,78,P0/P1候选,https://github.com/open-webui/open-webui/issues/28123,规则初筛,未复核,,,,,
OWUI-28118,feat: use OIDC `birthdate` and `gender` claims,已关闭,其他,功能建议,1,0,29,观察,https://github.com/open-webui/open-webui/issues/28118,规则初筛,未复核,,,,,
OWUI-28106,"issue: Reindex Knowledge Base Vectors never rebuilds per-file collections, so attaching a single file returns no sources",已关闭,知识库与RAG,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28106,规则初筛,未复核,,,,,
OWUI-28101,bug: OAuth login fails after upgrading from pre-v0.6.41 — b10670c03dd5 double-encodes user.oauth,已关闭,账号与权限,问题反馈,6,0,59,P2候选,https://github.com/open-webui/open-webui/issues/28101,规则初筛,未复核,,,,,
OWUI-28086,issue: bug: Open file button inside collection does not open the original file,开放,知识库与RAG,问题反馈,2,0,55,P2候选,https://github.com/open-webui/open-webui/issues/28086,规则初筛,未复核,,,,,
OWUI-28085,bug: Tool Rich-UI `embeds` silently fail to render when the embedded HTML contains an HTML entity (e.g. `&quot;`),开放,Agent/工具/搜索,问题反馈,2,0,55,P2候选,https://github.com/open-webui/open-webui/issues/28085,规则初筛,未复核,,,,,
OWUI-28084,feat: Deleting a chat should not remove it from analytics,已关闭,界面与对话流程,功能建议,2,0,33,观察,https://github.com/open-webui/open-webui/issues/28084,规则初筛,未复核,,,,,
OWUI-28082,issue: admin Interface settings save to the database but the running UI keeps the old values until a full page reload,已关闭,界面与对话流程,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28082,规则初筛,未复核,,,,,
OWUI-28075,issue: unsaved changes in the Edit User Group modal persist after closing without saving,开放,界面与对话流程,问题反馈,2,0,55,P2候选,https://github.com/open-webui/open-webui/issues/28075,规则初筛,未复核,,,,,
OWUI-28072,issue: Group member count in admin list does not refresh after toggling users in Edit Group modal,开放,界面与对话流程,问题反馈,3,1,62,P2候选,https://github.com/open-webui/open-webui/issues/28072,规则初筛,未复核,,,,,
OWUI-28071,feat: Allow knowledge from fetch_url to be put into a specific KB,已关闭,知识库与RAG,功能建议,2,0,33,观察,https://github.com/open-webui/open-webui/issues/28071,规则初筛,未复核,,,,,
OWUI-28063,issue: Chat Models + Image Edit Generation error,已关闭,模型与API连接,问题反馈,7,0,63,P2候选,https://github.com/open-webui/open-webui/issues/28063,规则初筛,未复核,,,,,
OWUI-28062,issue: Authlib 1.7.2 fails with CyberArk OIDC,已关闭,账号与权限,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28062,规则初筛,未复核,,,,,
OWUI-28060,issue: start_windows.bat fails without secret key,已关闭,其他,问题反馈,2,0,43,观察,https://github.com/open-webui/open-webui/issues/28060,规则初筛,未复核,,,,,
OWUI-28059,feat: Requests to the chat completions API from Open Web UI should be included in usage evaluation on an equal footing with normal chat messages.,已关闭,模型与API连接,功能建议,4,0,41,观察,https://github.com/open-webui/open-webui/issues/28059,规则初筛,未复核,,,,,
OWUI-28058,Assistant answer stored as one output part per character when provider streams per-char blocks (vertical text),已关闭,模型与API连接,咨询/待判定,6,0,64,P2候选,https://github.com/open-webui/open-webui/issues/28058,规则初筛,未复核,,,,,
OWUI-28056,"feat: change on admin login, login and sign up pages to fit Oreegami template and graphical elements",已关闭,账号与权限,功能建议,1,0,29,观察,https://github.com/open-webui/open-webui/issues/28056,规则初筛,未复核,,,,,
OWUI-28052,bug: three lifespan background tasks are created without keeping a reference and can be garbage collected,开放,其他,问题反馈,3,0,59,P2候选,https://github.com/open-webui/open-webui/issues/28052,规则初筛,未复核,,,,,
OWUI-28051,feat: Native Azure AI Search Hybrid Search Support (No Adapter Required),已关闭,Agent/工具/搜索,功能建议,1,0,29,观察,https://github.com/open-webui/open-webui/issues/28051,规则初筛,未复核,,,,,
